Date,Open,High,Low,Close,Adj Close,Volume
01/12/2015,23.1,23.85,23.049999,23.799999,22.653301,20296751
02/12/2015,23.85,24.200001,23.5,24,22.843666,14657398
03/12/2015,23.799999,24.200001,23.700001,24,22.843666,7901584
04/12/2015,23.700001,23.700001,23.35,23.65,22.510529,8633470
07/12/2015,23.5,24,23.5,23.9,22.748482,10197513
08/12/2015,23.5,23.6,22.65,22.9,21.796667,18859985
09/12/2015,23,23.1,22.5,22.85,21.749073,6791864
10/12/2015,22.85,23.450001,22.65,23.200001,22.082211,7551790
11/12/2015,23.4,23.4,22.75,23.15,22.034616,9693463
14/12/2015,22.799999,22.799999,22.299999,22.6,21.511116,9477297
15/12/2015,22.299999,22.65,22.200001,22.25,21.177982,8529385
16/12/2015,22.6,23.450001,22.299999,23.1,21.98703,15890044
17/12/2015,23.299999,24,23.200001,23.700001,22.558117,22262235
18/12/2015,23.1,23.799999,23.1,23.549999,22.415346,13085730
21/12/2015,23.6,24.4,23.25,24.35,23.176802,26606780
22/12/2015,24.200001,24.4,23.85,24.299999,23.129211,13733712
23/12/2015,24.450001,24.950001,24.450001,24.6,23.414759,13892615
24/12/2015,24.950001,24.950001,24.5,24.799999,23.605122,4451560
28/12/2015,24.799999,24.799999,24.299999,24.35,23.176802,4704417
29/12/2015,24.450001,24.65,24.049999,24.5,23.319576,4988515
30/12/2015,24.75,24.75,24.25,24.5,23.319576,5070341
31/12/2015,24.5,24.65,24.299999,24.450001,23.271984,3035751
04/01/2016,24.799999,25.299999,23.700001,24.4,23.224394,19535671
05/01/2016,24.799999,24.950001,24,24.5,23.319576,10907257
06/01/2016,24.9,24.950001,23.85,24.049999,22.891258,8421276
07/01/2016,23.6,23.950001,22.35,22.450001,21.368347,20127888
08/01/2016,22.5,22.85,21.9,22.049999,20.987616,18569775
11/01/2016,21.25,21.950001,21.1,21.4,20.368935,15675708
12/01/2016,22.049999,22.15,21.6,21.6,20.559301,11352713
13/01/2016,22.1,22.799999,21.549999,21.65,20.606888,17235897
14/01/2016,21.35,21.65,20.6,21.6,20.559301,10530496
15/01/2016,21.5,21.700001,21.049999,21.15,20.130981,12604574
18/01/2016,21.799999,22.35,21.35,21.9,20.844847,14601154
19/01/2016,21.799999,22.4,21.25,22.35,21.273167,12303769
20/01/2016,21.9,22,20.5,20.65,19.655071,21797917
21/01/2016,20.799999,21.35,19.92,20.1,19.131569,17206206
22/01/2016,20.6,21.65,20.450001,21.5,20.464119,37600997
25/01/2016,21.75,22,21.549999,21.700001,20.654484,20153401
26/01/2016,21.35,22.049999,21.1,21.549999,20.511707,16468554
27/01/2016,22.1,22.799999,22,22.450001,21.368347,31125249
28/01/2016,23.5,23.799999,23.200001,23.6,22.462936,40563065
29/01/2016,24,24.75,23.9,24.1,22.93885,28301023
01/02/2016,24.35,24.450001,23.5,24.200001,23.034031,15629503
02/02/2016,24.200001,25,23.6,23.75,22.605711,36216325
03/02/2016,22.9,23.049999,21.950001,22.65,21.55871,26755192
04/02/2016,23,23.4,22.950001,23,21.891848,11166594
05/02/2016,23.4,23.65,23.1,23.35,22.224981,7226460
11/02/2016,22.950001,23.200001,22.049999,22.549999,21.463526,15871726
12/02/2016,22.35,23.6,22.35,23.25,22.129801,15524723
15/02/2016,24.049999,25.200001,24.049999,25.15,23.938261,32601306
16/02/2016,25.200001,25.35,24.549999,24.65,23.462347,23164259
17/02/2016,24.9,25.6,24.799999,25,23.795485,28679299
18/02/2016,25.549999,26.65,25.549999,26.5,25.223213,27912570
19/02/2016,26.1,26.200001,25.65,25.75,24.509348,18196225
22/02/2016,25.85,26.5,25.85,26.4,25.128031,13668456
23/02/2016,26.549999,27.15,26.25,26.4,25.128031,19763236
24/02/2016,26.200001,26.299999,25.4,26.049999,24.794895,11662088
25/02/2016,26.299999,26.799999,24.799999,25.450001,24.223804,25079000
26/02/2016,26,26.4,25.85,26.1,24.842487,27729820
29/02/2016,26.85,27,26,26.1,24.842487,14962648
01/03/2016,26.299999,26.299999,24.85,25.9,24.652122,26913594
02/03/2016,26.5,27.25,26.450001,27.200001,25.889488,34662940
03/03/2016,27.35,27.4,26.6,26.950001,25.651531,16320361
04/03/2016,26.9,27.5,26.9,27.049999,25.746714,17326804
07/03/2016,27.25,27.6,26.6,26.700001,25.41358,17743925
08/03/2016,26.200001,26.5,25.65,26,24.747305,24312492
09/03/2016,25.9,26.4,25.700001,26.25,24.985262,8276415
10/03/2016,26.4,26.85,26.200001,26.25,24.985262,7043038
11/03/2016,26.6,27.1,26.1,27,25.699123,12077743
14/03/2016,27.299999,28,26.700001,26.700001,25.41358,16536249
15/03/2016,26.9,27.15,26.6,26.9,25.603941,9652471
16/03/2016,26.9,27.1,26.5,26.799999,25.50876,6483970
17/03/2016,27.200001,27.299999,26.9,27.049999,25.746714,8129650
18/03/2016,27.5,29.75,27.200001,29.65,28.221443,43000330
21/03/2016,30,30.15,28.799999,28.799999,27.412399,24248380
22/03/2016,28.75,29,28.4,28.6,27.222034,10363030
23/03/2016,28.35,29.15,28.299999,29.049999,27.650352,10723521
24/03/2016,28.6,28.85,28.15,28.4,27.03167,10644521
29/03/2016,28.450001,29.5,28.15,29.1,27.697943,15699676
30/03/2016,29.200001,29.700001,28.950001,29.65,28.221443,18054928
31/03/2016,29.65,30,29,29.1,27.697943,10950666
01/04/2016,29.15,29.15,27.700001,28,26.650944,16933665
05/04/2016,27.4,27.450001,26.65,26.85,25.556349,20266513
06/04/2016,26.700001,27.450001,26.700001,27.25,25.937078,11425607
07/04/2016,27.35,27.799999,27.1,27.1,25.794306,10328932
08/04/2016,26.85,27.85,26.700001,27.75,26.412991,12262740
11/04/2016,27.6,27.85,27.25,27.5,26.175032,9960195
12/04/2016,27.6,27.85,27.450001,27.700001,26.365396,7131805
13/04/2016,28.049999,29.049999,27.950001,28.85,27.459991,15560146
14/04/2016,29.4,29.700001,28.799999,29.049999,27.650352,17363826
15/04/2016,29,29.049999,28.5,28.799999,27.412399,13929704
18/04/2016,28.15,29.1,28.15,28.700001,27.317219,6829221
19/04/2016,29.5,29.5,28.9,29.450001,28.031082,6212473
20/04/2016,29.299999,29.6,28.799999,29.049999,27.650352,8499342
21/04/2016,29.200001,29.200001,27.85,28.299999,26.936489,15663799
22/04/2016,27.799999,28,27,27.5,26.175032,23796862
25/04/2016,27.6,28,27.1,27.75,26.412991,11362002
26/04/2016,27.700001,28.299999,27.549999,28.200001,26.841309,9937186
27/04/2016,27.950001,28.25,27.450001,27.6,26.270216,10552224
28/04/2016,27.75,27.799999,26.65,26.9,25.603941,21371870
29/04/2016,26.6,26.75,26.1,26.200001,24.93767,19908693
03/05/2016,26.85,26.85,25.799999,25.9,24.652122,24080612
04/05/2016,25.799999,25.9,25.450001,25.549999,24.318985,10464871
05/05/2016,25.5,25.85,25.299999,25.6,24.366577,10107769
06/05/2016,25.4,25.450001,24.35,24.450001,23.271984,19134474
09/05/2016,24.6,25.049999,24.6,24.65,23.462347,10551943
10/05/2016,24.299999,24.85,24.15,24.6,23.414759,7528980
11/05/2016,25,25.299999,24.75,24.799999,23.605122,11286978
12/05/2016,24.799999,25.200001,24.25,25.15,23.938261,9265701
13/05/2016,24.75,25,24.4,24.85,23.652712,12662162
16/05/2016,25,25.25,24.6,24.85,23.652712,7534744
17/05/2016,24.75,25,24.549999,24.950001,23.747894,6808132
18/05/2016,24.75,24.9,24.200001,24.299999,23.129211,5936553
19/05/2016,24.5,24.700001,24.200001,24.25,23.081617,4961554
20/05/2016,24.450001,24.549999,24.049999,24.35,23.176802,5065216
23/05/2016,24.200001,24.299999,23.65,23.799999,22.653301,11655842
24/05/2016,23.799999,25.1,23.799999,25,23.795485,18350774
25/05/2016,25.4,25.9,25.299999,25.75,24.509348,17303329
26/05/2016,25.65,25.85,25.1,25.75,24.509348,6129056
27/05/2016,25.799999,25.950001,25.450001,25.75,24.509348,6677920
30/05/2016,25.950001,26.5,25.799999,26.1,24.842487,9545950
31/05/2016,26.049999,26.35,25.9,26.1,24.842487,11303365
01/06/2016,26.200001,26.450001,25.200001,25.5,24.271397,9965107
02/06/2016,25.75,26.15,25.35,26.15,24.890078,10743312
03/06/2016,26.25,26.4,25.799999,26.15,24.890078,9050126
