Date,Open,High,Low,Close,Adj Close,Volume
01/12/2015,5.56,5.75,5.56,5.65,4.932106,94785794
02/12/2015,5.66,5.71,5.62,5.7,4.975752,70924226
03/12/2015,5.6,5.68,5.53,5.67,4.949564,118224709
04/12/2015,5.54,5.66,5.52,5.54,4.836082,130125783
07/12/2015,5.48,5.53,5.4,5.42,4.731329,89255545
08/12/2015,5.3,5.32,5.22,5.3,4.626577,112270030
09/12/2015,5.23,5.31,5.22,5.23,4.565471,62385829
10/12/2015,5.22,5.27,5.15,5.17,4.513094,62922287
11/12/2015,5.19,5.22,5.07,5.08,4.43453,79734707
14/12/2015,5,5.06,4.93,5.02,4.382154,61877291
15/12/2015,4.99,5.13,4.98,5.05,4.408342,55621802
16/12/2015,5.19,5.4,5.17,5.3,4.626577,96388003
17/12/2015,5.3,5.3,5.14,5.2,4.539284,97199171
18/12/2015,5.07,5.12,5.06,5.09,4.44326,99107488
21/12/2015,5.12,5.22,5.11,5.13,4.478178,76377052
22/12/2015,5.15,5.16,5.04,5.09,4.44326,76745208
23/12/2015,5.13,5.3,5.13,5.26,4.59166,87742396
24/12/2015,5.45,5.49,5.36,5.38,4.696412,55080442
28/12/2015,5.4,5.43,5.25,5.27,4.600389,46235375
29/12/2015,5.23,5.27,5.18,5.19,4.530553,66111390
30/12/2015,5.27,5.28,5.12,5.14,4.486906,68773039
31/12/2015,5.14,5.16,5.07,5.08,4.43453,43253195
04/01/2016,5.14,5.19,4.96,5.02,4.382154,90690163
05/01/2016,4.98,5.08,4.92,4.94,4.312318,89338403
06/01/2016,4.9,4.96,4.86,4.88,4.259943,105238274
07/01/2016,4.79,4.84,4.55,4.56,3.980602,191534517
08/01/2016,4.64,4.74,4.58,4.68,4.085354,101248371
11/01/2016,4.5,4.52,4.43,4.45,3.884578,117610210
12/01/2016,4.48,4.51,4.35,4.39,3.832202,95630712
13/01/2016,4.48,4.58,4.4,4.45,3.884578,93243553
14/01/2016,4.3,4.51,4.24,4.48,3.910767,81892924
15/01/2016,4.46,4.51,4.36,4.38,3.823473,81283111
18/01/2016,4.31,4.43,4.26,4.29,3.744908,104558967
19/01/2016,4.39,4.52,4.3,4.5,3.928226,86412872
20/01/2016,4.34,4.37,4.16,4.23,3.692532,118223547
21/01/2016,4.29,4.38,4.17,4.18,3.648885,95021165
22/01/2016,4.38,4.56,4.31,4.51,3.936954,142392126
25/01/2016,4.62,4.77,4.59,4.64,4.050437,134119083
26/01/2016,4.45,4.48,4.35,4.37,3.814743,92097434
27/01/2016,4.55,4.6,4.44,4.51,3.936954,79605664
28/01/2016,4.59,4.61,4.47,4.56,3.980602,83453598
29/01/2016,4.55,4.8,4.55,4.75,4.14646,149042916
01/02/2016,4.69,4.73,4.55,4.61,4.024249,109586485
02/02/2016,4.54,4.6,4.5,4.57,3.989331,58448935
03/02/2016,4.26,4.39,4.26,4.38,3.823473,111669893
04/02/2016,4.61,4.69,4.55,4.61,4.024249,99389792
05/02/2016,4.63,4.72,4.61,4.71,4.111543,66217655
11/02/2016,4.38,4.48,4.35,4.47,3.902038,67952675
12/02/2016,4.45,4.62,4.44,4.5,3.928226,67795141
15/02/2016,4.61,4.69,4.59,4.67,4.076625,92044719
16/02/2016,4.74,5.04,4.71,4.97,4.338507,218884230
17/02/2016,4.86,4.94,4.76,4.82,4.207566,125791144
18/02/2016,5.1,5.11,5.03,5.11,4.460719,144886847
19/02/2016,4.97,5.12,4.97,5.09,4.44326,94379760
22/02/2016,5.07,5.13,5.03,5.11,4.460719,66075003
23/02/2016,5.2,5.22,5.09,5.18,4.521824,77383796
24/02/2016,5.01,5.07,5.01,5.07,4.425801,50607874
25/02/2016,5.09,5.1,4.91,4.94,4.312318,72235161
26/02/2016,5.09,5.24,5.05,5.17,4.513094,112010029
29/02/2016,5.12,5.14,4.96,4.99,4.355966,78393278
01/03/2016,5.09,5.18,5.04,5.16,4.504365,68985174
02/03/2016,5.31,5.4,5.29,5.34,4.661494,128522033
03/03/2016,5.4,5.45,5.25,5.35,4.670224,92459281
04/03/2016,5.43,5.44,5.33,5.38,4.696412,79295067
07/03/2016,5.54,5.59,5.4,5.41,4.7226,122703364
08/03/2016,5.47,5.48,5.29,5.36,4.678954,85792497
09/03/2016,5.26,5.27,5.17,5.25,4.58293,72903857
10/03/2016,5.3,5.38,5.27,5.29,4.617848,90354453
11/03/2016,5.24,5.43,5.2,5.42,4.731329,81018619
14/03/2016,5.5,5.5,5.34,5.39,4.705141,74274438
15/03/2016,5.31,5.38,5.26,5.31,4.635307,70561085
16/03/2016,5.33,5.36,5.17,5.19,4.530553,85953100
17/03/2016,5.42,5.46,5.35,5.42,4.731329,105314073
18/03/2016,5.41,5.48,5.36,5.4,4.713871,88587042
21/03/2016,5.34,5.39,5.28,5.31,4.635307,73678351
22/03/2016,5.35,5.39,5.29,5.32,4.644036,53645266
23/03/2016,5.31,5.37,5.29,5.37,4.687682,43469120
24/03/2016,5.2,5.22,5.08,5.14,4.486906,120236169
29/03/2016,5.2,5.2,4.97,4.99,4.355966,98906369
30/03/2016,5.1,5.18,5.06,5.14,4.486906,82919634
31/03/2016,5.19,5.19,5.12,5.16,4.504365,52706765
01/04/2016,5.16,5.16,5.04,5.07,4.425801,52642465
05/04/2016,4.97,4.98,4.83,4.86,4.242484,127776596
06/04/2016,4.81,4.95,4.81,4.85,4.233754,87104905
07/04/2016,4.95,4.99,4.85,4.88,4.259943,69851268
08/04/2016,4.8,4.89,4.76,4.88,4.259943,97306001
11/04/2016,4.87,4.99,4.86,4.91,4.28613,77493995
12/04/2016,4.96,5,4.93,4.97,4.338507,71677127
13/04/2016,5.1,5.34,5.09,5.33,4.652765,206954724
14/04/2016,5.34,5.35,5.22,5.34,4.661494,81906173
15/04/2016,5.35,5.36,5.25,5.33,4.652765,56651825
18/04/2016,5.11,5.26,5.1,5.23,4.565471,120566594
19/04/2016,5.38,5.45,5.31,5.43,4.740059,85957441
20/04/2016,5.46,5.46,5.24,5.35,4.670224,84992435
21/04/2016,5.46,5.66,5.44,5.55,4.844811,158418967
22/04/2016,5.48,5.67,5.45,5.6,4.888459,141331253
25/04/2016,5.55,5.64,5.51,5.61,4.897189,101693751
26/04/2016,5.61,5.66,5.46,5.62,4.905918,83952436
27/04/2016,5.63,5.82,5.61,5.81,5.071776,172595897
28/04/2016,5.87,6.03,5.81,5.92,5.167799,223154680
29/04/2016,5.72,5.77,5.64,5.71,4.984482,166494168
03/05/2016,5.71,5.71,5.61,5.63,4.914647,94764661
04/05/2016,5.55,5.58,5.46,5.57,4.86227,117783215
05/05/2016,5.46,5.58,5.45,5.54,4.836082,105345000
06/05/2016,5.55,5.55,5.35,5.36,4.678954,137963500
09/05/2016,5.42,5.48,5.3,5.35,4.670224,108061165
10/05/2016,5.21,5.39,5.21,5.36,4.678954,91215350
11/05/2016,5.41,5.46,5.3,5.32,4.644036,65627833
12/05/2016,5.4,5.41,5.32,5.36,4.678954,62334402
13/05/2016,5.27,5.32,5.21,5.29,4.617848,83086162
16/05/2016,5.21,5.34,5.15,5.29,4.617848,76218230
17/05/2016,5.39,5.47,5.35,5.42,4.731329,89442471
18/05/2016,5.35,5.37,5.26,5.3,4.626577,75755241
19/05/2016,5.26,5.28,5.18,5.21,4.548012,55781345
20/05/2016,5.23,5.3,5.2,5.24,4.574199,57619891
23/05/2016,5.2,5.26,5.18,5.2,4.539284,55222503
24/05/2016,5.16,5.18,5.05,5.13,4.478178,70047023
25/05/2016,5.29,5.41,5.24,5.33,4.652765,97850772
26/05/2016,5.36,5.4,5.33,5.35,4.670224,51923545
27/05/2016,5.35,5.39,5.25,5.35,4.670224,64992986
30/05/2016,5.29,5.38,5.27,5.32,4.644036,60377548
31/05/2016,5.22,5.42,5.22,5.34,4.687487,124859400
01/06/2016,5.35,5.39,5.33,5.37,4.713821,43375784
02/06/2016,5.33,5.46,5.3,5.42,4.757712,56252430
03/06/2016,5.46,5.48,5.35,5.38,4.7226,74034301
06/06/2016,5.44,5.48,5.34,5.45,4.784046,44324453
07/06/2016,5.56,5.63,5.5,5.59,4.90694,94266704
08/06/2016,5.64,5.76,5.59,5.72,5.021053,108627223
10/06/2016,5.67,5.73,5.65,5.66,4.968385,67280536
13/06/2016,5.52,5.54,5.35,5.41,4.748934,126965145
14/06/2016,5.45,5.45,5.28,5.34,4.687487,67174038
15/06/2016,5.21,5.38,5.21,5.3,4.652375,80878610
16/06/2016,5.25,5.29,5.12,5.18,4.547038,82104682
17/06/2016,5.28,5.28,5.14,5.19,4.555816,70361621
20/06/2016,5.28,5.29,5.22,5.28,4.634819,72582103
21/06/2016,5.28,5.38,5.28,5.31,4.661153,47389550
22/06/2016,5.34,5.42,5.31,5.4,4.740156,66537341
23/06/2016,5.43,5.43,5.36,5.42,4.757712,38065368
24/06/2016,5.38,5.49,5,5.18,4.547038,199009367
27/06/2016,5.09,5.14,5.05,5.1,4.476813,110707949
28/06/2016,5.03,5.09,5.01,5.06,4.441701,68804496
29/06/2016,5.13,5.18,5.1,5.18,4.547038,47634944
30/06/2016,5.29,5.34,5.24,5.29,4.643597,80688171
04/07/2016,5.36,5.39,5.3,5.35,4.696265,64728684
05/07/2016,5.29,5.32,5.21,5.23,4.590929,49242570
06/07/2016,5.14,5.18,5.05,5.14,4.511926,79829403
07/07/2016,5.21,5.29,5.18,5.26,4.617263,61651752
08/07/2016,5.24,5.25,5.17,5.23,4.590929,61800137
11/07/2016,5.36,5.38,5.29,5.31,4.661153,72633818
12/07/2016,5.38,5.4,5.33,5.39,4.731377,85456276
13/07/2016,5.44,5.48,5.39,5.41,4.748934,70153149
14/07/2016,5.36,5.49,5.36,5.48,4.81038,71823590
15/07/2016,5.49,5.5,5.42,5.47,4.801602,54440099
18/07/2016,5.46,5.5,5.42,5.5,4.827937,48033200
19/07/2016,5.46,5.46,5.36,5.4,4.740156,59125710
20/07/2016,5.38,5.44,5.35,5.4,4.740156,51217951
21/07/2016,5.44,5.45,5.34,5.38,4.7226,51127071
22/07/2016,5.33,5.39,5.31,5.37,4.713821,44532339
25/07/2016,5.4,5.4,5.25,5.35,4.696265,74897836
26/07/2016,5.28,5.34,5.24,5.28,4.634819,105598442
27/07/2016,5.32,5.38,5.25,5.37,4.713821,86772462
28/07/2016,5.33,5.36,5.25,5.36,4.705043,69076881
29/07/2016,5.28,5.3,5.23,5.26,4.617263,79714067
01/08/2016,5.31,5.39,5.28,5.31,4.661153,75640680
02/08/2016,5.31,5.31,5.31,5.31,4.661153,0
03/08/2016,5.2,5.23,5.16,5.21,4.573372,78849178
04/08/2016,5.29,5.29,5.2,5.23,4.590929,51015765
05/08/2016,5.28,5.3,5.24,5.27,4.62604,59214516
08/08/2016,5.32,5.33,5.24,5.31,4.661153,52826727
09/08/2016,5.31,5.35,5.3,5.33,4.678708,45715259
